SightID:ID,Name_CN,Name_EN,URL,:LABEL
sight_0043,玫瑰湾,Rose Bay,https://you.ctrip.com/sight/rosebay2126946/137146.html,Sight
sight_0044,圣安德烈教堂,St. Andrew's Cathedral,https://you.ctrip.com/sight/sydney236/1412336.html,Sight
sight_0045,悉尼世纪公园,Centennial Park,https://you.ctrip.com/sight/centennialpark2126521/1412722.html,Sight
sight_0046,新市镇,Newtown,https://you.ctrip.com/sight/newtown2126470/1734403.html,Sight
sight_0047,奥林匹克村,Sydney Olympic Park,https://you.ctrip.com/sight/sydney236/64090.html,Sight
sight_0048,尼克尔森博物馆,Nicholson Museum,https://you.ctrip.com/sight/camperdown2126872/1734240.html,Sight
sight_0049,悉尼娱乐中心,Sydney Entertainment Centre,https://you.ctrip.com/sight/sydney236/1412360.html,Sight
sight_0050,蒙哥国家公园,Mungo National Park,https://you.ctrip.com/sight/sydney236/107541.html,Sight
sight_0051,悉尼犹太博物馆,Sydney Jewish Museum,https://you.ctrip.com/sight/darlinghurst2126516/1412604.html,Sight
sight_0052,反思之池,Pool of Reflection,https://you.ctrip.com/sight/darlinghurst2126516/1412382.html,Sight
sight_0053,拜莫尔公园,Belmore Park,https://you.ctrip.com/sight/haymarket2126388/1412731.html,Sight
sight_0054,悉尼海港高桅帆船,Sydney Habour Tall Ship Cruises,https://you.ctrip.com/sight/sydney236/1411032.html,Sight
sight_0055,库基海滩,Coogee Beach,https://you.ctrip.com/sight/coogee2126892/1412331.html,Sight
sight_0056,首都剧场,Capitol Theatre,https://you.ctrip.com/sight/haymarket2126388/5073497.html,Sight
sight_0057,歌剧院到植物园步行路线,The Opera House to the Botanic Gardens Walk,https://you.ctrip.com/sight/sydney236/1734440.html,Sight
sight_0058,悉尼铸币厂,The Mint,https://you.ctrip.com/sight/sydney236/1412371.html,Sight
sight_0059,通巴隆公园,Tumbalong Park,https://www.tripadvisor.com.au/Attraction_Review-g255060-d7352414-Reviews-Tumbalong_Park-Sydney_New_South_Wales.html,Sight
sight_0060,卡姆登谷热气球飞行,Camden Valley Hot Air Balloon Flights,https://you.ctrip.com/sight/sydney236/2479818.html,Sight
sight_0061,科克湾码头,Cockle Bay Wharf,https://you.ctrip.com/sight/sydney236/1734417.html,Sight
sight_0062,科克图岛,Cockatoo Island,https://you.ctrip.com/sight/woolwich2127132/1412614.html,Sight
