HotelID:ID,Name,URL,Price,Website,:LABEL
hotel_0021,Hilton Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d255650-Reviews-Hilton_Sydney-Sydney_New_South_Wales.html,"HKD 1,383",,Hotel
hotel_0022,Rydges Sydney Harbour,https://www.tripadvisor.com.au/Hotel_Review-g255060-d255392-Reviews-Rydges_Sydney_Harbour-Sydney_New_South_Wales.html,"HKD 1,553",https://www.tripadvisor.com.au/Commerce?p=EVENT_BA&src=189002421&geo=255392&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=39860&bucket=939678&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262063&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlOaj2qnNoINaeQ9OoZfW-v2xTbZ6kPKrqjaLJHV1ZQW0&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1e41f096fec163995ce100c707d7c6fac&ba_uid=778f53f7-116d-4d64-9a48-0c1cfb7f42c0,Hotel
hotel_0023,Megaboom City Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d8530064-Reviews-Megaboom_City_Hotel-Sydney_New_South_Wales.html,HKD 645,,Hotel
hotel_0024,Amora Hotel Jamison Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d284258-Reviews-Amora_Hotel_Jamison_Sydney-Sydney_New_South_Wales.html,"HKD 1,412",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=284258&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262262074&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkRQnNKJ7oTN2TvAUC3HhJ2US0KrS5_Rw_k7ecKq26bWC9bHCyLGtxg96zeae7msddg&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=2&cs=1d826d0479dfc7ca6584e5bd68001992e&ba_uid=ea4afea7-a4b6-4f33-8326-69f9bd5ca26a,Hotel
hotel_0025,YEHS Hotel - Sydney CBD,https://www.tripadvisor.com.au/Hotel_Review-g255060-d8663263-Reviews-YEHS_Hotel_Sydney_CBD-Sydney_New_South_Wales.html,HKD 860,,Hotel
hotel_0026,Crown Towers Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d22851015-Reviews-Crown_Towers_Sydney-Sydney_New_South_Wales.html,"HKD 5,123",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=22851015&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CAD&tm=262262085&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdyOKk1fqjO6Jk57RFl1QHM9Unoy4mzUB7YaTD-xoY6Ejg&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=137e77bea77e974c2bb8696ca4cfc653f&ba_uid=9de2d422-0f53-4a4c-8346-589704c2a04a,Hotel
hotel_0027,Rydges Darling Square Apartment Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256627-Reviews-Rydges_Darling_Square_Apartment_Hotel-Sydney_New_South_Wales.html,"HKD 1,306",https://www.tripadvisor.com.au/Commerce?p=EVENT_BA&src=236712119&geo=256627&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=39860&bucket=939678&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262091&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlekef_rxWqtIfppwqfO6cZTbOYZ2ixC068FY4yFw1VXY&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=18dd1329503030adee2f50d862deb99e0&ba_uid=b2dfe4d9-7502-415d-be4e-0ce848e4463a,Hotel
hotel_0028,YEHS Hotel - Sydney Harbour Suites,https://www.tripadvisor.com.au/Hotel_Review-g255060-d23221163-Reviews-YEHS_Hotel_Sydney_Harbour_Suites-Sydney_New_South_Wales.html,"HKD 1,885",,Hotel
hotel_0029,Sydney Central YHA,https://www.tripadvisor.com.au/Hotel_Review-g255060-d259222-Reviews-Sydney_Central_YHA-Sydney_New_South_Wales.html,HKD 677,,Hotel
hotel_0030,Central Studio Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256535-Reviews-Central_Studio_Hotel_Sydney-Sydney_New_South_Wales.html,HKD 834,,Hotel
hotel_0031,The Grace Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d257296-Reviews-The_Grace_Sydney-Sydney_New_South_Wales.html,"HKD 1,569",,Hotel
hotel_0032,QT Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d2641285-Reviews-QT_Sydney-Sydney_New_South_Wales.html,"HKD 1,648",https://www.tripadvisor.com.au/Commerce?p=EVENT_BA&src=187828914&geo=2641285&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=39860&bucket=939678&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262264&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmliioVwmUhzZwCW2zeaHJewhxdh1lfP5FpB4ZDSqHyFOM&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=13be842ad7b817dad1703ad939247e6cd&ba_uid=6a2a3cf6-2253-4c9d-979a-b632663f0731,Hotel
hotel_0033,Sofitel Sydney Darling Harbour Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d11687464-Reviews-Sofitel_Sydney_Darling_Harbour_Hotel-Sydney_New_South_Wales.html,"HKD 1,936",,Hotel
hotel_0034,Wildlife Retreat at Taronga,https://www.tripadvisor.com.au/Hotel_Review-g255060-d19223977-Reviews-Wildlife_Retreat_at_Taronga-Sydney_New_South_Wales.html,"HKD 2,492",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=19223977&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262262272&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdxAo-omfZdyML7kUEE6TgSbRFqSauK0kQEe9QwIMrMd6Q&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1b3f55429c27bebbb3bc55913e1fcdb04&ba_uid=92529656-9644-4429-bc53-c1f8c097f91c,Hotel
hotel_0035,Rendezvous Hotel Sydney The Rocks,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256655-Reviews-Rendezvous_Hotel_Sydney_The_Rocks-Sydney_New_South_Wales.html,"HKD 1,625",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=230725573&geo=256655&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=942376&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262280&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb8inIlI0HqW18Fh3_GRv842p5co_RtD1og0Q42aGyp4O&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1026ed16f83df2b5f1d6bf09b0268c8e4&ba_uid=b216e5ae-62c8-49b0-a0bf-62704eca1fca,Hotel
hotel_0036,PARKROYAL Darling Harbour,https://www.tripadvisor.com.au/Hotel_Review-g255060-d257797-Reviews-PARKROYAL_Darling_Harbour-Sydney_New_South_Wales.html,"HKD 1,417",https://www.tripadvisor.com.au/Commerce?p=PanPacificHotels_BA&src=202979678&geo=257797&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=41286&bucket=946934&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262283&managed=false&capped=false&gosox=2afBke2oyOgyG0EnpWzKOOgjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZX2SMl8Fz1FAGgMluXFKlg_AHIu67X-vKwXmu1yUhlFQ&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=136454709e32e5eede725a3f4b73a57a3&ba_uid=5bae299f-ea0f-4d44-9df3-a47f9bc72adc,Hotel
hotel_0037,Swissotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256595-Reviews-Swissotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,676",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256595&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262262286&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkanez_QIUzGbE-EbaA_5zEjXo3yHwkWRWS1GqoirHJ4aYt-zomh0Uu0Q37Ge39ygMQ&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=15d3eecf457e03047e74184c60054cf71&ba_uid=26d0bb92-b874-431e-abb3-4e0aa67e8708,Hotel
hotel_0038,Ace Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d23935116-Reviews-Ace_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,621",,Hotel
hotel_0039,Sydney Boutique Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256571-Reviews-Sydney_Boutique_Hotel-Sydney_New_South_Wales.html,,,Hotel
hotel_0040,The Great Southern Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d1084661-Reviews-The_Great_Southern_Hotel_Sydney-Sydney_New_South_Wales.html,HKD 677,,Hotel
hotel_0041,The Ultimo,https://www.tripadvisor.com.au/Hotel_Review-g255060-d257280-Reviews-The_Ultimo-Sydney_New_South_Wales.html,HKD 845,,Hotel
hotel_0042,The Sebel Quay West Suites Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256624-Reviews-The_Sebel_Quay_West_Suites_Sydney-Sydney_New_South_Wales.html,"HKD 1,690",,Hotel
hotel_0043,Adina Apartment Hotel Sydney Darling Harbour,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256582-Reviews-Adina_Apartment_Hotel_Sydney_Darling_Harbour-Sydney_New_South_Wales.html,"HKD 1,270",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=196271642&geo=256582&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=942376&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262305&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb9iXcy1lQH391N3FeauLJ_8xi-mV__l5s__-cUNXOcXk&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1e2ac311873b1e755db67e5e3f7d2db95&ba_uid=91320c7a-c60d-453f-89fb-cfddc103cf67,Hotel
hotel_0044,The Sydney Boulevard Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256657-Reviews-The_Sydney_Boulevard_Hotel-Sydney_New_South_Wales.html,,,Hotel
hotel_0045,Vibe Hotel Sydney Darling Harbour,https://www.tripadvisor.com.au/Hotel_Review-g255060-d17549855-Reviews-Vibe_Hotel_Sydney_Darling_Harbour-Sydney_New_South_Wales.html,"HKD 1,364",,Hotel
hotel_0046,"Pier One Sydney Harbour, Autograph Collection",https://www.tripadvisor.com.au/Hotel_Review-g255060-d256653-Reviews-Pier_One_Sydney_Harbour_Autograph_Collection-Sydney_New_South_Wales.html,"HKD 1,571",https://www.tripadvisor.com.au/Commerce?p=Marriott_BA&src=183960362&geo=256653&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=38059&bucket=934872&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262315&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZ-rsI04Aok9c6_NeQ5dwWch9RgX-taVgDBVDAQf7rs1o&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1a2bdd1b38b7e66a7b971c1caf6ab3264&ba_uid=6784417d-1da5-4769-9719-ee1aed6c38db,Hotel
